     1980         1982
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
      "Yes"        "Yes"
       "No"        "Yes"
       "No"        "Yes"
       "No"        "Yes"
       "No"        "Yes"
       "No"        "Yes"
       "No"        "Yes"
       "No"        "Yes"
       "No"        "Yes"
       "No"        "Yes"
       "No"        "Yes"
       "No"        "Yes"
       "No"        "Yes"
       "No"        "Yes"
       "No"        "Yes"
       "No"        "Yes"
       "No"        "Yes"
       "No"        "Yes"
       "No"        "Yes"
       "No"        "Yes"
       "No"        "Yes"
       "No"        "Yes"
       "No"        "Yes"
       "No"        "Yes"
       "No"        "Yes"
       "No"        "Yes"
       "No"        "Yes"
       "No"        "Yes"
       "No"        "Yes"
       "No"        "Yes"
       "No"        "Yes"
       "No"        "Yes"
       "No"        "Yes"
       "No"        "Yes"
       "No"        "Yes"
       "No"        "Yes"
       "No"        "Yes"
       "No"        "Yes"
       "No"        "Yes"
       "No"        "Yes"
       "No"        "Yes"
       "No"        "Yes"
       "No"        "Yes"
       "No"        "Yes"
       "No"        "Yes"
       "No"        "Yes"
       "No"        "Yes"
       "No"        "Yes"
       "No"        "Yes"
       "No"        "Yes"
       "No"        "Yes"
       "No"        "Yes"
       "No"        "Yes"
       "No"        "Yes"
       "No"        "Yes"
       "No"        "Yes"
       "No"        "Yes"
       "No"        "Yes"
       "No"        "Yes"
       "No"        "Yes"
       "No"        "Yes"
       "No"        "Yes"
       "No"        "Yes"
       "No"        "Yes"
       "No"        "Yes"
       "No"        "Yes"
       "No"        "Yes"
       "No"        "Yes"
       "No"        "Yes"
       "No"        "Yes"
       "No"        "Yes"
       "No"        "Yes"
       "No"        "Yes"
       "No"        "Yes"
       "No"        "Yes"
       "No"        "Yes"
       "No"        "Yes"
      "Yes"         "No"
      "Yes"         "No"
      "Yes"         "No"
      "Yes"         "No"
      "Yes"         "No"
      "Yes"         "No"
      "Yes"         "No"
      "Yes"         "No"
      "Yes"         "No"
      "Yes"         "No"
      "Yes"         "No"
      "Yes"         "No"
      "Yes"         "No"
      "Yes"         "No"
      "Yes"         "No"
      "Yes"         "No"
      "Yes"         "No"
      "Yes"         "No"
      "Yes"         "No"
      "Yes"         "No"
      "Yes"         "No"
      "Yes"         "No"
      "Yes"         "No"
      "Yes"         "No"
      "Yes"         "No"
      "Yes"         "No"
      "Yes"         "No"
      "Yes"         "No"
      "Yes"         "No"
      "Yes"         "No"
      "Yes"         "No"
      "Yes"         "No"
      "Yes"         "No"
      "Yes"         "No"
      "Yes"         "No"
      "Yes"         "No"
      "Yes"         "No"
      "Yes"         "No"
      "Yes"         "No"
      "Yes"         "No"
      "Yes"         "No"
      "Yes"         "No"
      "Yes"         "No"
      "Yes"         "No"
      "Yes"         "No"
      "Yes"         "No"
      "Yes"         "No"
      "Yes"         "No"
      "Yes"         "No"
      "Yes"         "No"
      "Yes"         "No"
      "Yes"         "No"
      "Yes"         "No"
      "Yes"         "No"
      "Yes"         "No"
      "Yes"         "No"
      "Yes"         "No"
      "Yes"         "No"
      "Yes"         "No"
      "Yes"         "No"
      "Yes"         "No"
      "Yes"         "No"
      "Yes"         "No"
      "Yes"         "No"
      "Yes"         "No"
      "Yes"         "No"
      "Yes"         "No"
      "Yes"         "No"
      "Yes"         "No"
      "Yes"         "No"
      "Yes"         "No"
      "Yes"         "No"
      "Yes"         "No"
      "Yes"         "No"
      "Yes"         "No"
      "Yes"         "No"
      "Yes"         "No"
      "Yes"         "No"
      "Yes"         "No"
      "Yes"         "No"
      "Yes"         "No"
      "Yes"         "No"
      "Yes"         "No"
      "Yes"         "No"
      "Yes"         "No"
      "Yes"         "No"
      "Yes"         "No"
      "Yes"         "No"
      "Yes"         "No"
      "Yes"         "No"
      "Yes"         "No"
      "Yes"         "No"
      "Yes"         "No"
      "Yes"         "No"
      "Yes"         "No"
      "Yes"         "No"
      "Yes"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
       "No"         "No"
