  hospital       status
        "A"   "accurate"
        "A"   "accurate"
        "A"   "accurate"
        "A"   "accurate"
        "A"   "accurate"
        "A"   "accurate"
        "A"   "accurate"
        "A"   "accurate"
        "A"   "accurate"
        "A"   "accurate"
        "A"   "accurate"
        "A"   "nochange"
        "A"   "nochange"
        "A"   "nochange"
        "A"   "nochange"
        "A"   "nochange"
        "A"   "nochange"
        "A"   "nochange"
        "A"   "nochange"
        "A"   "nochange"
        "A"   "nochange"
        "A"   "nochange"
        "A"   "nochange"
        "A"   "nochange"
        "A"   "nochange"
        "A"   "nochange"
        "A"   "nochange"
        "A"   "nochange"
        "A"   "nochange"
        "A"     "recode"
        "A"     "recode"
        "A"     "recode"
        "A"     "recode"
        "A"     "recode"
        "A"     "recode"
        "A"     "recode"
        "A"     "recode"
        "A"     "recode"
        "A"     "recode"
        "A"     "recode"
        "A"     "recode"
        "A"     "recode"
        "A"     "recode"
        "A"     "recode"
        "A"     "recode"
        "A"     "recode"
        "A"     "recode"
        "A"     "recode"
        "A"     "recode"
        "A"     "recode"
        "A"     "recode"
        "A"     "recode"
        "A"     "recode"
        "A"     "recode"
        "A"     "recode"
        "A"     "recode"
        "A"     "recode"
        "A"     "recode"
        "A"     "recode"
        "A"     "recode"
        "A"     "recode"
        "A"     "recode"
        "A"     "recode"
        "A"     "recode"
        "A"     "recode"
        "A"     "recode"
        "A"     "recode"
        "A"     "recode"
        "A"     "recode"
        "A"     "recode"
        "A"     "recode"
        "A"     "recode"
        "A"     "recode"
        "A"     "recode"
        "A"     "recode"
        "A"     "recode"
        "A"     "recode"
        "A"     "recode"
        "A"     "recode"
        "A"     "recode"
        "A"     "recode"
        "A"     "recode"
        "A"     "recode"
        "B"   "accurate"
        "B"   "accurate"
        "B"   "accurate"
        "B"   "accurate"
        "B"   "accurate"
        "B"   "accurate"
        "B"   "accurate"
        "B"   "accurate"
        "B"   "accurate"
        "B"   "accurate"
        "B"   "accurate"
        "B"   "accurate"
        "B"   "accurate"
        "B"   "accurate"
        "B"   "accurate"
        "B"   "accurate"
        "B"   "accurate"
        "B"   "accurate"
        "B"   "accurate"
        "B"   "accurate"
        "B"   "accurate"
        "B"   "accurate"
        "B"   "accurate"
        "B"   "accurate"
        "B"   "accurate"
        "B"   "accurate"
        "B"   "accurate"
        "B"   "accurate"
        "B"   "accurate"
        "B"   "accurate"
        "B"   "accurate"
        "B"   "accurate"
        "B"   "accurate"
        "B"   "accurate"
        "B"   "accurate"
        "B"   "accurate"
        "B"   "accurate"
        "B"   "accurate"
        "B"   "accurate"
        "B"   "accurate"
        "B"   "accurate"
        "B"   "accurate"
        "B"   "accurate"
        "B"   "accurate"
        "B"   "accurate"
        "B"   "accurate"
        "B"   "accurate"
        "B"   "accurate"
        "B"   "accurate"
        "B"   "accurate"
        "B"   "accurate"
        "B"   "accurate"
        "B"   "accurate"
        "B"   "accurate"
        "B"   "accurate"
        "B"   "accurate"
        "B"   "accurate"
        "B"   "accurate"
        "B"   "accurate"
        "B"   "accurate"
        "B"   "accurate"
        "B"   "accurate"
        "B"   "accurate"
        "B"   "accurate"
        "B"   "accurate"
        "B"   "accurate"
        "B"   "accurate"
        "B"   "accurate"
        "B"   "accurate"
        "B"   "accurate"
        "B"   "accurate"
        "B"   "accurate"
        "B"   "accurate"
        "B"   "accurate"
        "B"   "accurate"
        "B"   "accurate"
        "B"   "accurate"
        "B"   "accurate"
        "B"   "accurate"
        "B"   "accurate"
        "B"   "accurate"
        "B"   "accurate"
        "B"   "accurate"
        "B"   "accurate"
        "B"   "accurate"
        "B"   "accurate"
        "B"   "accurate"
        "B"   "accurate"
        "B"   "accurate"
        "B"   "accurate"
        "B"   "accurate"
        "B"   "accurate"
        "B"   "accurate"
        "B"   "accurate"
        "B"   "accurate"
        "B"   "accurate"
        "B"   "accurate"
        "B"   "accurate"
        "B"   "accurate"
        "B"   "accurate"
        "B"   "accurate"
        "B"   "accurate"
        "B"   "accurate"
        "B"   "accurate"
        "B"   "accurate"
        "B"   "accurate"
        "B"   "accurate"
        "B"   "accurate"
        "B"   "accurate"
        "B"   "accurate"
        "B"   "accurate"
        "B"   "accurate"
        "B"   "accurate"
        "B"   "accurate"
        "B"   "accurate"
        "B"   "accurate"
        "B"   "accurate"
        "B"   "accurate"
        "B"   "accurate"
        "B"   "accurate"
        "B"   "accurate"
        "B"   "accurate"
        "B"   "accurate"
        "B"   "accurate"
        "B"   "accurate"
        "B"   "accurate"
        "B"   "accurate"
        "B"   "accurate"
        "B"   "accurate"
        "B"   "accurate"
        "B"   "accurate"
        "B"   "accurate"
        "B"   "accurate"
        "B"   "accurate"
        "B"   "accurate"
        "B"   "accurate"
        "B"   "accurate"
        "B"   "accurate"
        "B"   "accurate"
        "B"   "accurate"
        "B"   "accurate"
        "B"   "accurate"
        "B"   "accurate"
        "B"   "accurate"
        "B"   "accurate"
        "B"   "accurate"
        "B"   "accurate"
        "B"   "accurate"
        "B"   "accurate"
        "B"   "accurate"
        "B"   "accurate"
        "B"   "accurate"
        "B"   "accurate"
        "B"   "accurate"
        "B"   "accurate"
        "B"   "accurate"
        "B"   "accurate"
        "B"   "accurate"
        "B"   "accurate"
        "B"   "accurate"
        "B"   "accurate"
        "B"   "accurate"
        "B"   "accurate"
        "B"   "accurate"
        "B"   "accurate"
        "B"   "accurate"
        "B"   "accurate"
        "B"   "accurate"
        "B"   "accurate"
        "B"   "accurate"
        "B"   "accurate"
        "B"   "accurate"
        "B"   "accurate"
        "B"   "accurate"
        "B"   "accurate"
        "B"   "accurate"
        "B"   "accurate"
        "B"   "accurate"
        "B"   "accurate"
        "B"   "accurate"
        "B"   "accurate"
        "B"   "accurate"
        "B"   "accurate"
        "B"   "accurate"
        "B"   "accurate"
        "B"   "accurate"
        "B"   "accurate"
        "B"   "accurate"
        "B"   "accurate"
        "B"   "accurate"
        "B"   "accurate"
        "B"   "accurate"
        "B"   "accurate"
        "B"   "accurate"
        "B"   "accurate"
        "B"   "accurate"
        "B"   "accurate"
        "B"   "accurate"
        "B"   "accurate"
        "B"   "accurate"
        "B"   "accurate"
        "B"   "accurate"
        "B"   "accurate"
        "B"   "accurate"
        "B"   "accurate"
        "B"   "accurate"
        "B"   "accurate"
        "B"   "accurate"
        "B"   "accurate"
        "B"   "accurate"
        "B"   "accurate"
        "B"   "accurate"
        "B"   "accurate"
        "B"   "accurate"
        "B"   "accurate"
        "B"   "accurate"
        "B"   "accurate"
        "B"   "accurate"
        "B"   "accurate"
        "B"   "accurate"
        "B"   "accurate"
        "B"   "accurate"
        "B"   "accurate"
        "B"   "accurate"
        "B"   "accurate"
        "B"   "accurate"
        "B"   "accurate"
        "B"   "accurate"
        "B"   "accurate"
        "B"   "accurate"
        "B"   "accurate"
        "B"   "accurate"
        "B"   "accurate"
        "B"   "accurate"
        "B"   "accurate"
        "B"   "accurate"
        "B"   "accurate"
        "B"   "accurate"
        "B"   "accurate"
        "B"   "accurate"
        "B"   "accurate"
        "B"   "accurate"
        "B"   "accurate"
        "B"   "accurate"
        "B"   "accurate"
        "B"   "accurate"
        "B"   "accurate"
        "B"   "accurate"
        "B"   "accurate"
        "B"   "accurate"
        "B"   "accurate"
        "B"   "accurate"
        "B"   "accurate"
        "B"   "accurate"
        "B"   "accurate"
        "B"   "accurate"
        "B"   "accurate"
        "B"   "accurate"
        "B"   "accurate"
        "B"   "accurate"
        "B"   "accurate"
        "B"   "accurate"
        "B"   "accurate"
        "B"   "accurate"
        "B"   "accurate"
        "B"   "accurate"
        "B"   "accurate"
        "B"   "accurate"
        "B"   "nochange"
        "B"   "nochange"
        "B"   "nochange"
        "B"   "nochange"
        "B"   "nochange"
        "B"   "nochange"
        "B"   "nochange"
        "B"   "nochange"
        "B"   "nochange"
        "B"   "nochange"
        "B"   "nochange"
        "B"   "nochange"
        "B"   "nochange"
        "B"   "nochange"
        "B"   "nochange"
        "B"   "nochange"
        "B"   "nochange"
        "B"   "nochange"
        "B"   "nochange"
        "B"   "nochange"
        "B"   "nochange"
        "B"   "nochange"
        "B"   "nochange"
        "B"   "nochange"
        "B"   "nochange"
        "B"   "nochange"
        "B"   "nochange"
        "B"   "nochange"
        "B"   "nochange"
        "B"   "nochange"
        "B"   "nochange"
        "B"   "nochange"
        "B"   "nochange"
        "B"   "nochange"
        "B"   "nochange"
        "B"   "nochange"
        "B"   "nochange"
        "B"   "nochange"
        "B"   "nochange"
        "B"   "nochange"
        "B"   "nochange"
        "B"   "nochange"
        "B"   "nochange"
        "B"   "nochange"
        "B"     "recode"
        "B"     "recode"
        "B"     "recode"
        "B"     "recode"
        "B"     "recode"
        "B"     "recode"
        "B"     "recode"
        "B"     "recode"
        "B"     "recode"
        "B"     "recode"
        "B"     "recode"
        "B"     "recode"
        "B"     "recode"
        "B"     "recode"
        "B"     "recode"
        "B"     "recode"
        "B"     "recode"
        "B"     "recode"
        "B"     "recode"
        "B"     "recode"
        "B"     "recode"
        "B"     "recode"
        "B"     "recode"
        "B"     "recode"
        "B"     "recode"
        "B"     "recode"
        "B"     "recode"
        "B"     "recode"
        "B"     "recode"
        "B"     "recode"
        "B"     "recode"
        "B"     "recode"
        "B"     "recode"
        "B"     "recode"
